change_dir;change_followerGap;change_followerSecureGap;change_from;change_id;change_leaderGap;change_leaderSecureGap;change_origLeaderGap;change_origLeaderSecureGap;change_pos;change_reason;change_speed;change_time;change_to;change_type
-1;224.62;17.82;gneE0_2;112;166.96;22.15;101.53;33.13;428.89;keepRight;24.20;138.00;gneE0_1;DEFAULT_VEHTYPE
-1;38.53;32.32;gneE0_1;124;89.57;8.36;226.66;12.33;221.77;keepRight;22.50;139.00;gneE0_0;DEFAULT_VEHTYPE
-1;36.95;0.00;gneE0_3;132;271.89;0.00;65.35;0.00;49.54;keepRight;12.86;139.00;gneE0_2;DEFAULT_VEHTYPE
-1;125.83;39.67;gneE0_2;107;36.52;7.85;181.08;6.21;609.13;keepRight;21.77;140.00;gneE0_1;DEFAULT_VEHTYPE
-1;71.56;0.00;gneE0_3;128;207.94;0.00;54.92;0.00;140.65;keepRight;20.76;140.00;gneE0_2;DEFAULT_VEHTYPE
-1;132.71;0.00;gneE0_2;84;321.15;14.47;307.04;25.95;1426.68;keepRight;26.30;146.00;gneE0_1;DEFAULT_VEHTYPE
-1;185.47;28.10;gneE0_3;103;28.20;18.32;61.36;17.50;1022.63;keepRight;24.88;150.00;gneE0_2;DEFAULT_VEHTYPE
-1;125.26;0.00;gneE0_4;133;215.80;21.39;102.16;17.35;271.03;keepRight;26.94;150.00;gneE0_3;DEFAULT_VEHTYPE
-1;106.58;30.59;gneE0_3;113;70.28;13.01;172.57;6.60;809.48;keepRight;23.99;152.00;gneE0_2;DEFAULT_VEHTYPE
-1;25.84;22.68;gneE0_4;116;220.54;17.05;643.45;0.00;761.51;keepRight;25.73;152.00;gneE0_3;DEFAULT_VEHTYPE
-1;207.24;45.59;gneE0_2;128;301.38;40.03;192.36;35.11;512.92;keepRight;26.91;154.00;gneE0_1;DEFAULT_VEHTYPE
-1;28.24;23.40;gneE0_3;117;70.32;33.12;29.18;23.92;831.79;keepRight;25.72;156.00;gneE0_2;DEFAULT_VEHTYPE
-1;203.53;51.57;gneE0_3;123;60.39;25.02;97.06;12.62;720.15;keepRight;25.73;157.00;gneE0_2;DEFAULT_VEHTYPE
-1;174.66;0.00;gneE0_3;89;None;None;None;None;1711.14;keepRight;26.91;158.00;gneE0_2;DEFAULT_VEHTYPE
-1;59.25;41.75;gneE0_4;122;72.76;20.54;809.12;12.45;771.97;keepRight;26.44;158.00;gneE0_3;DEFAULT_VEHTYPE
-1;45.99;31.45;gneE0_4;141;90.67;9.38;162.21;0.00;309.54;keepRight;23.91;160.00;gneE0_3;DEFAULT_VEHTYPE
-1;51.18;1.04;gneE0_2;148;108.74;0.00;84.15;6.61;159.27;keepRight;22.21;161.00;gneE0_1;DEFAULT_VEHTYPE
-1;165.60;28.10;gneE0_4;127;59.74;10.15;934.30;20.77;760.30;keepRight;26.44;162.00;gneE0_3;DEFAULT_VEHTYPE
-1;30.86;24.44;gneE0_1;139;74.47;0.00;173.57;0.00;357.14;keepRight;22.49;162.00;gneE0_0;DEFAULT_VEHTYPE
-1;29.93;26.71;gneE0_3;142;157.49;16.41;43.43;26.26;334.61;keepRight;25.12;163.00;gneE0_2;DEFAULT_VEHTYPE
-1;112.49;36.43;gneE0_3;133;66.17;9.22;166.84;24.02;642.60;keepRight;26.53;164.00;gneE0_2;DEFAULT_VEHTYPE
-1;169.93;20.61;gneE0_2;135;65.29;18.28;111.73;31.19;552.31;keepRight;27.20;165.00;gneE0_1;DEFAULT_VEHTYPE
-1;140.39;0.00;gneE0_3;92;100.33;20.05;None;None;1878.97;keepRight;26.51;168.00;gneE0_2;DEFAULT_VEHTYPE
-1;84.25;27.60;gneE0_4;91;None;None;None;None;1929.44;keepRight;26.30;169.00;gneE0_3;DEFAULT_VEHTYPE
-1;68.06;29.53;gneE0_1;148;96.62;12.00;137.90;1.34;337.50;keepRight;21.48;169.00;gneE0_0;DEFAULT_VEHTYPE
-1;33.17;29.21;gneE0_3;141;247.67;10.96;114.85;12.47;577.51;keepRight;24.49;171.00;gneE0_2;DEFAULT_VEHTYPE
-1;108.56;0.00;gneE0_3;93;None;None;None;None;1948.69;keepRight;27.65;173.00;gneE0_2;DEFAULT_VEHTYPE
-1;13.97;9.74;gneE0_1;160;203.39;28.93;105.00;3.86;171.41;keepRight;24.09;174.00;gneE0_0;DEFAULT_VEHTYPE
-1;22.86;0.00;gneE0_1;170;147.85;0.00;64.65;0.00;43.83;keepRight;11.22;176.00;gneE0_0;DEFAULT_VEHTYPE
-1;91.61;31.09;gneE0_4;159;113.97;5.46;698.07;0.00;314.02;keepRight;24.91;177.00;gneE0_3;DEFAULT_VEHTYPE
-1;31.11;26.39;gneE0_2;133;139.91;26.60;94.21;18.45;1017.21;keepRight;27.17;178.00;gneE0_1;DEFAULT_VEHTYPE
-1;132.23;10.79;gneE0_3;137;228.14;16.73;305.57;23.46;883.28;keepRight;26.92;178.00;gneE0_2;DEFAULT_VEHTYPE
-1;401.10;0.14;gneE0_4;138;134.72;62.50;123.84;52.58;1081.20;keepRight;32.05;179.00;gneE0_3;DEFAULT_VEHTYPE
-1;8.56;0.00;gneE0_3;163;192.45;28.82;53.21;40.35;206.95;keepRight;26.74;179.00;gneE0_2;DEFAULT_VEHTYPE
-1;26.94;2.39;gneE0_2;113;159.97;23.70;115.83;22.11;1494.79;keepRight;25.08;180.00;gneE0_1;DEFAULT_VEHTYPE
-1;38.24;22.00;gneE0_2;141;169.23;7.78;140.24;15.44;843.39;keepRight;24.34;182.00;gneE0_1;DEFAULT_VEHTYPE
-1;70.77;0.00;gneE0_2;171;151.62;9.24;79.69;0.00;123.75;keepRight;19.01;184.00;gneE0_1;DEFAULT_VEHTYPE
-1;137.31;39.68;gneE0_3;159;44.32;13.90;151.61;1.93;612.64;keepRight;24.34;189.00;gneE0_2;DEFAULT_VEHTYPE
-1;59.41;22.23;gneE0_3;116;117.04;27.05;None;None;1806.41;keepRight;26.44;192.00;gneE0_2;DEFAULT_VEHTYPE
-1;70.64;10.99;gneE0_1;141;120.95;17.14;202.96;7.00;1110.32;keepRight;24.57;193.00;gneE0_0;DEFAULT_VEHTYPE
-1;28.83;22.14;gneE0_4;156;202.51;33.93;944.13;23.45;668.14;keepRight;27.69;193.00;gneE0_3;DEFAULT_VEHTYPE
-1;103.56;2.30;gneE0_2;163;218.83;22.28;130.57;34.14;600.89;keepRight;25.92;194.00;gneE0_1;DEFAULT_VEHTYPE
-1;105.50;19.10;gneE0_1;166;156.04;0.00;119.48;0.00;556.71;keepRight;20.95;197.00;gneE0_0;DEFAULT_VEHTYPE
-1;207.06;23.71;gneE0_2;137;38.00;19.03;272.56;19.98;1414.27;keepRight;26.35;198.00;gneE0_1;DEFAULT_VEHTYPE
-1;157.93;24.28;gneE0_2;164;106.26;0.00;234.21;7.45;596.55;keepRight;21.77;198.00;gneE0_1;DEFAULT_VEHTYPE
-1;120.14;31.82;gneE0_2;159;90.11;16.58;56.91;17.01;885.75;keepRight;24.83;200.00;gneE0_1;DEFAULT_VEHTYPE
-1;52.64;39.93;gneE0_3;173;59.58;21.82;91.03;20.97;618.90;keepRight;23.45;204.00;gneE0_2;DEFAULT_VEHTYPE
-1;138.65;18.32;gneE0_2;180;85.36;32.90;126.23;26.01;456.06;keepRight;26.03;205.00;gneE0_1;DEFAULT_VEHTYPE
-1;69.18;42.71;gneE0_3;176;110.29;18.84;97.95;34.48;498.91;keepRight;25.56;206.00;gneE0_2;DEFAULT_VEHTYPE
-1;26.70;20.71;gneE0_3;168;338.38;14.66;220.31;9.49;786.21;keepRight;24.19;207.00;gneE0_2;DEFAULT_VEHTYPE
-1;167.49;25.96;gneE0_4;167;210.31;7.78;254.31;0.00;823.72;keepRight;24.30;208.00;gneE0_3;DEFAULT_VEHTYPE
-1;119.13;6.22;gneE0_1;186;53.45;26.93;142.60;23.67;436.73;keepRight;25.46;210.00;gneE0_0;DEFAULT_VEHTYPE
-1;107.22;35.20;gneE0_4;179;68.76;23.99;100.68;25.90;675.35;keepRight;24.44;212.00;gneE0_3;DEFAULT_VEHTYPE
-1;22.14;18.76;gneE0_2;197;104.55;1.95;223.55;0.41;221.27;keepRight;21.76;213.00;gneE0_1;DEFAULT_VEHTYPE
