change_dir;change_followerGap;change_followerSecureGap;change_from;change_id;change_leaderGap;change_leaderSecureGap;change_origLeaderGap;change_origLeaderSecureGap;change_pos;change_reason;change_speed;change_time;change_to;change_type
-1;133.75;35.77;gneE0_2;62;247.76;4.31;30.30;17.61;428.97;keepRight;21.62;87.00;gneE0_1;DEFAULT_VEHTYPE
-1;142.98;26.91;gneE0_3;66;68.19;21.23;288.40;0.00;318.70;keepRight;23.38;87.00;gneE0_2;DEFAULT_VEHTYPE
-1;30.59;21.04;gneE0_2;61;215.12;9.31;158.74;0.00;486.88;keepRight;22.61;88.00;gneE0_1;DEFAULT_VEHTYPE
-1;55.06;22.98;gneE0_2;40;67.52;25.02;268.94;9.02;1140.62;keepRight;25.99;90.00;gneE0_1;DEFAULT_VEHTYPE
-1;239.07;10.82;gneE0_4;63;169.77;17.86;269.16;15.28;522.16;keepRight;26.32;90.00;gneE0_3;DEFAULT_VEHTYPE
-1;118.86;20.65;gneE0_3;48;25.10;19.03;61.41;20.67;960.28;keepRight;25.67;91.00;gneE0_2;DEFAULT_VEHTYPE
-1;21.09;15.99;gneE0_1;42;59.49;11.08;74.76;11.27;1016.83;keepRight;23.39;92.00;gneE0_0;DEFAULT_VEHTYPE
-1;354.32;32.74;gneE0_3;31;93.53;9.09;276.02;6.43;1430.78;keepRight;26.19;94.00;gneE0_2;DEFAULT_VEHTYPE
-1;32.65;25.18;gneE0_4;72;46.53;18.15;102.26;3.67;323.01;keepRight;23.23;94.00;gneE0_3;DEFAULT_VEHTYPE
-1;58.29;32.52;gneE0_4;33;271.96;0.64;None;None;1464.71;keepRight;25.47;95.00;gneE0_3;DEFAULT_VEHTYPE
-1;36.73;19.40;gneE0_3;73;96.11;28.29;258.78;11.17;470.02;keepRight;24.15;98.00;gneE0_2;DEFAULT_VEHTYPE
-1;33.30;29.33;gneE0_1;62;74.27;5.60;36.94;22.73;691.65;keepRight;22.33;99.00;gneE0_0;DEFAULT_VEHTYPE
-1;27.20;22.42;gneE0_3;16;None;None;None;None;1996.85;keepRight;25.72;100.00;gneE0_2;DEFAULT_VEHTYPE
-1;38.35;15.41;gneE0_1;61;35.55;6.67;244.04;14.54;756.34;keepRight;22.76;100.00;gneE0_0;DEFAULT_VEHTYPE
-1;127.46;7.61;gneE0_4;70;190.30;23.29;480.83;19.81;591.75;keepRight;26.40;100.00;gneE0_3;DEFAULT_VEHTYPE
-1;29.44;26.71;gneE0_3;46;313.98;31.72;272.67;18.05;1295.41;keepRight;26.53;101.00;gneE0_2;DEFAULT_VEHTYPE
-1;30.01;26.95;gneE0_4;56;462.79;25.84;196.80;9.97;1105.30;keepRight;27.71;101.00;gneE0_3;DEFAULT_VEHTYPE
-1;25.27;21.27;gneE0_2;66;387.78;13.23;135.60;1.67;662.26;keepRight;22.95;102.00;gneE0_1;DEFAULT_VEHTYPE
-1;17.11;0.00;gneE0_1;94;202.83;0.00;44.79;0.00;46.44;keepRight;11.87;102.00;gneE0_0;DEFAULT_VEHTYPE
-1;148.14;17.48;gneE0_2;48;105.04;20.11;41.38;19.43;1294.77;keepRight;25.42;104.00;gneE0_1;DEFAULT_VEHTYPE
-1;31.42;26.91;gneE0_3;63;196.20;20.02;196.51;18.09;892.94;keepRight;26.51;104.00;gneE0_2;DEFAULT_VEHTYPE
-1;114.87;0.00;gneE0_2;87;119.97;17.22;159.51;29.01;254.42;keepRight;24.72;104.00;gneE0_1;DEFAULT_VEHTYPE
-1;67.20;4.84;gneE0_1;93;198.27;20.19;117.70;33.87;230.41;keepRight;26.57;108.00;gneE0_0;DEFAULT_VEHTYPE
